loss,accuracy,val_loss,val_accuracy,lr
0.12878943979740143,0.9553297758102417,1.33816397190094,0.5,5e-05
0.11976426094770432,0.9553297758102417,1.163485050201416,0.6875,5e-05
0.11571986228227615,0.9551380276679993,1.1703464984893799,0.625,5e-05
0.11907124519348145,0.9536042809486389,0.15000052750110626,1.0,5e-05
0.10802792012691498,0.9606978297233582,0.2952044904232025,0.875,5e-05
0.10881488025188446,0.9587806463241577,0.8043549060821533,0.6875,5e-05
0.10272174328565598,0.9618481397628784,0.21341294050216675,0.875,2.5e-05
0.09964249283075333,0.9633818864822388,0.4178333878517151,0.75,2.5e-05
0.09049419313669205,0.9649156332015991,0.7274059057235718,0.625,1.25e-05
0.09141669422388077,0.9651073813438416,0.436418741941452,0.8125,1.25e-05
0.08289371430873871,0.9672162532806396,1.017261266708374,0.625,6.25e-06
0.0899360254406929,0.9660659432411194,0.6522514820098877,0.75,6.25e-06
