loss,accuracy,recall,auc_pr,val_loss,val_accuracy,val_recall,val_auc_pr,lr
0.03774052858352661,0.9265720844268799,0.8650261163711548,0.8710122108459473,1.7187445163726807,0.5,0.0,0.637937068939209,0.0003
0.009265976957976818,0.9654908180236816,0.936614453792572,0.9785540103912354,0.48498889803886414,0.5,0.0,0.9569684267044067,0.0003
0.006507014390081167,0.9752684235572815,0.9552572965621948,0.9897316098213196,0.10086295008659363,0.625,0.25,0.973659873008728,0.0003
0.005801567807793617,0.9787193536758423,0.9604772329330444,0.9909248948097229,0.05087622255086899,0.8125,0.625,0.9852771162986755,0.0003
0.0049272323958575726,0.9794861674308777,0.9649515151977539,0.9931584596633911,0.12012720108032227,0.625,0.25,1.0,0.0003
0.0042785233817994595,0.9837039709091187,0.9731543660163879,0.9955763816833496,0.030428502708673477,0.8125,0.625,1.0,0.0003
0.004323156550526619,0.9827454090118408,0.9694257974624634,0.9949356913566589,0.0095023512840271,1.0,1.0,1.0,0.0003
0.0027644638903439045,0.9884969592094421,0.9835943579673767,0.9981354475021362,0.05116119980812073,0.8125,0.625,1.0,0.0003
0.006185418926179409,0.9815950989723206,0.9671886563301086,0.9921039342880249,0.02067764289677143,0.8125,0.625,1.0,0.0003
0.004421583376824856,0.9825536608695984,0.9716629385948181,0.9952728748321533,0.01354589220136404,1.0,1.0,1.0,0.0003
0.0013890833361074328,0.9950153231620789,0.991051435470581,0.9994767904281616,0.004192102700471878,1.0,1.0,1.0,0.00015
0.0008285358198918402,0.9963573813438416,0.9947800040245056,0.9998205900192261,0.0035004334058612585,1.0,1.0,1.0,0.00015
0.0004879465268459171,0.9984662532806396,0.9977628588676453,0.9999643564224243,0.0010464823571965098,1.0,1.0,1.0,0.00015
