,count,mean,std,min,25%,50%,75%,max
sample_idx,8.0,48.875,27.01553785720887,14.0,28.25,50.5,61.25,88.0
true,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,8.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
prob,8.0,0.25521946139633656,0.17168500127735128,0.09231448173522949,0.11329912394285202,0.2221139892935753,0.3346351832151413,0.5983808040618896
iou_top10_gc_lrp,8.0,0.06699514164837085,0.037110373310226895,0.02880658436213333,0.043840439803269654,0.054673834629549084,0.08116389632446835,0.1441647597253638
gradcam_com_dist,8.0,0.24419331610976924,0.10545651967929602,0.09664192211244611,0.18345857779590652,0.21685565048101885,0.3116658724329549,0.42650927048404097
lrp_com_dist,8.0,0.08247537469819209,0.07574749616605544,0.009299440214216984,0.049238358223443184,0.06571712106510169,0.07460266287278414,0.2599526297719668
gradcam_focus_pct,8.0,10.001666666666667,0.003306772485079828,10.0,10.0,10.0,10.001111111111111,10.00888888888889
lrp_focus_pct,8.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
