loss,accuracy,auc_pr,val_loss,val_accuracy,val_auc_pr,lr
0.0996999591588974,0.9204370975494385,0.9135017991065979,2.8695130348205566,0.5,0.5,1e-04
0.05424796789884567,0.9583972096443176,0.9678855538368225,2.039877414703369,0.5,0.7639623880386353,1e-04
0.04401301220059395,0.9652990698814392,0.9800294637680054,0.9111078977584839,0.625,0.9924750328063965,1e-04
0.03592590615153313,0.9725843667984009,0.9843840599060059,1.2737478017807007,0.5,0.9603302478790283,1e-04
0.03536843881011009,0.9748849868774414,0.9887083768844604,0.03155390918254852,1.0,1.0,1e-04
0.02884097211062908,0.9800613522529602,0.9929119944572449,0.03381693363189697,1.0,1.0,1e-04
0.022253280505537987,0.9840874075889587,0.9933958649635315,0.30918875336647034,0.6875,1.0,1e-04
0.023195751011371613,0.9838957190513611,0.994288444519043,0.05044694244861603,0.9375,1.0,1e-04
0.01112722884863615,0.9917561411857605,0.9984939098358154,0.04861557483673096,0.9375,1.0,5e-05
0.007987757213413715,0.9929064512252808,0.9994092583656311,0.0067567587830126286,1.0,1.0,5e-05
0.007680905982851982,0.9934815764427185,0.9993808269500732,0.16756275296211243,0.8125,1.0,5e-05
