loss,accuracy,val_loss,val_accuracy,lr
0.28289878368377686,0.8805598020553589,7.521407127380371,0.5,0.001
0.20722179114818573,0.9164110422134399,9.72333812713623,0.5,0.001
0.20036187767982483,0.921012282371521,9.396340370178223,0.5,0.001
0.1644216626882553,0.9371165633201599,10.151796340942383,0.5,0.0005
0.1566680520772934,0.9376916885375977,7.813828468322754,0.5,0.0005
0.13852326571941376,0.94804447889328,3.2486531734466553,0.5,0.00025
0.13079068064689636,0.9491947889328003,8.083297729492188,0.5,0.00025
0.12824931740760803,0.9520705342292786,4.460391998291016,0.5,0.00025
0.11082161217927933,0.956863522529602,0.6164253354072571,0.8125,0.000125
0.10886956751346588,0.9606978297233582,1.0250756740570068,0.75,0.000125
0.10865440964698792,0.9587806463241577,1.1551154851913452,0.625,0.000125
0.1042705848813057,0.9585889577865601,0.6136118769645691,0.6875,6.25e-05
