loss,accuracy,val_loss,val_accuracy,lr
0.5318542718887329,0.8387653231620789,27.325687408447266,0.5,0.001
0.29801708459854126,0.891487717628479,67.32421875,0.5,0.001
0.24105696380138397,0.9215874075889587,26.6668701171875,0.5,0.001
0.15970565378665924,0.9388419985771179,1.273285150527954,0.5625,0.0003
0.13027894496917725,0.9536042809486389,0.5279701352119446,0.75,0.0003
0.1397712230682373,0.9503450989723206,0.7967217564582825,0.625,0.0003
0.12986722588539124,0.9589723944664001,34.678871154785156,0.5,0.0003
0.11039668321609497,0.9643405079841614,1.1064984798431396,0.625,9e-05
0.09305968880653381,0.9652990698814392,0.9169292449951172,0.5625,9e-05
0.0915951132774353,0.9668328166007996,1.266471028327942,0.5625,2.7e-05
0.09084382653236389,0.9683665633201599,1.1093038320541382,0.6875,2.7e-05
0.09296584874391556,0.9708588719367981,1.2757289409637451,0.6875,8.1e-06
